YEAR,QUARTER,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,CPIA,CPIB,CPIC
1985,1,3.24,3.24,3.61,3.88,4.17,4.42,3.85,3.56,#N/A
1985,2,3.20,4.04,4.03,4.24,4.54,4.65,3.73,4.40,#N/A
1985,3,4.06,3.52,3.93,4.30,4.53,4.67,3.66,4.20,#N/A
1985,4,2.57,3.17,3.57,3.73,3.91,4.11,3.39,3.69,#N/A
1986,1,3.88,3.09,3.13,3.46,3.80,4.15,3.45,3.28,#N/A
1986,2,1.16,-0.22,2.20,3.24,3.69,3.74,2.04,3.40,#N/A
1986,3,-0.57,2.78,3.42,3.28,3.34,3.53,2.23,3.20,#N/A
1986,4,2.73,3.04,3.29,3.50,3.73,3.90,2.26,3.27,#N/A
1987,1,2.52,3.34,3.50,3.69,3.81,3.75,3.20,3.97,#N/A
1987,2,4.64,4.35,4.25,4.29,4.34,4.41,3.95,4.36,#N/A
1987,3,4.70,4.23,4.38,4.60,4.65,4.67,3.92,4.50,#N/A
1987,4,4.04,4.14,4.29,4.12,4.28,4.53,3.89,4.29,#N/A
1988,1,3.57,3.97,4.14,4.28,4.33,4.71,4.12,4.65,#N/A
1988,2,3.22,4.26,4.43,4.57,4.77,4.78,4.13,4.92,#N/A
1988,3,4.65,4.72,4.90,5.08,5.12,5.04,4.14,5.09,#N/A
1988,4,5.02,4.96,4.95,4.94,4.93,5.04,4.22,5.03,#N/A
1989,1,4.27,4.66,4.89,5.01,5.03,5.05,4.83,4.95,#N/A
1989,2,5.14,5.83,5.16,5.14,5.08,4.99,5.25,5.14,#N/A
1989,3,5.84,4.20,4.31,4.31,4.31,4.35,4.74,4.43,#N/A
1989,4,3.03,4.04,4.15,4.13,4.18,4.24,4.87,4.19,#N/A
1990,1,4.00,4.87,4.32,4.36,4.55,4.62,4.58,4.45,#N/A
1990,2,7.04,4.04,3.96,3.93,4.20,4.49,4.96,4.56,#N/A
1990,3,3.67,5.55,4.68,4.45,3.87,4.02,5.29,4.48,#N/A
1990,4,6.43,7.60,5.35,4.29,4.32,4.32,5.69,5.24,#N/A
1991,1,6.87,3.86,3.13,3.57,3.66,3.82,4.21,3.81,#N/A
1991,2,3.45,2.91,3.66,3.78,3.94,3.85,4.21,3.88,#N/A
1991,3,2.11,3.22,3.63,3.85,3.77,3.89,3.88,3.69,#N/A
1991,4,3.01,3.24,3.46,3.48,3.67,3.74,3.85,3.43,#N/A
1992,1,3.19,2.99,3.07,3.34,3.47,3.54,3.16,3.65,#N/A
1992,2,3.36,3.13,3.26,3.50,3.68,3.86,3.23,3.69,#N/A
1992,3,2.76,3.05,3.27,3.26,3.34,3.43,3.10,3.34,#N/A
1992,4,2.60,3.13,3.16,3.26,3.36,3.42,3.04,3.24,#N/A
1993,1,2.92,3.03,3.10,3.29,3.30,3.45,3.13,3.47,#N/A
1993,2,3.95,3.31,3.25,3.35,3.61,3.59,3.39,3.52,#N/A
1993,3,2.20,2.63,3.29,3.32,3.33,3.34,3.10,3.26,#N/A
1993,4,1.21,3.01,3.09,3.04,3.07,3.16,2.88,3.01,#N/A
1994,1,2.90,2.96,3.04,3.14,3.18,3.27,2.95,3.20,#N/A
1994,2,2.10,3.16,3.16,3.34,3.38,3.38,2.83,3.34,#N/A
1994,3,2.82,3.26,3.34,3.33,3.31,3.41,2.78,3.36,#N/A
1994,4,3.61,3.21,3.44,3.40,3.45,3.51,2.81,3.44,#N/A
1995,1,2.31,3.20,3.28,3.42,3.54,3.58,3.22,3.60,#N/A
1995,2,3.10,3.42,3.42,3.48,3.57,3.61,3.18,3.59,#N/A
1995,3,3.38,2.91,3.22,3.31,3.36,3.38,3.06,3.31,#N/A
1995,4,2.01,2.59,2.93,2.94,3.00,3.04,2.84,2.88,#N/A
1996,1,1.93,2.77,2.65,2.73,2.80,2.84,2.68,2.82,#N/A
1996,2,3.20,3.47,2.81,2.81,2.93,3.01,2.98,2.94,#N/A
1996,3,3.80,2.78,2.97,3.16,3.20,3.17,3.07,3.12,#N/A
1996,4,2.32,2.89,3.08,3.06,3.04,3.08,2.96,3.03,#N/A
1997,1,3.19,2.97,2.96,3.02,3.09,3.17,3.01,3.10,#N/A
1997,2,2.40,2.40,2.86,3.05,3.10,3.10,2.74,3.01,#N/A
1997,3,1.10,2.23,2.81,2.74,2.87,2.93,2.28,2.78,#N/A
1997,4,2.00,2.48,2.53,2.60,2.72,2.74,2.15,2.59,#N/A
1998,1,2.11,1.77,2.03,2.25,2.39,2.49,2.10,2.42,#N/A
1998,2,0.50,1.67,2.29,2.38,2.42,2.49,1.70,2.46,#N/A
1998,3,2.00,2.05,2.30,2.40,2.48,2.53,1.69,2.39,#N/A
1998,4,1.79,1.93,2.15,2.26,2.33,2.38,1.60,2.28,#N/A
1999,1,1.90,1.93,2.06,2.16,2.26,2.31,2.02,2.31,#N/A
1999,2,1.50,2.72,2.17,2.20,2.22,2.24,2.06,2.28,#N/A
1999,3,3.52,2.32,2.42,2.35,2.43,2.46,2.37,2.38,#N/A
1999,4,2.60,2.62,2.45,2.45,2.44,2.52,2.53,2.47,#N/A
2000,1,2.90,2.56,2.50,2.43,2.45,2.44,2.50,2.56,#N/A
2000,2,4.00,3.38,2.58,2.66,2.80,2.85,3.14,2.77,#N/A
2000,3,3.60,2.83,2.70,2.71,2.59,2.62,3.26,2.69,#N/A
2000,4,3.10,3.06,2.79,2.64,2.59,2.58,3.46,2.68,#N/A
2001,1,2.70,2.61,2.47,2.44,2.49,2.53,2.52,2.48,#N/A
2001,2,4.20,2.91,2.49,2.41,2.58,2.47,2.97,2.63,#N/A
2001,3,3.10,2.29,2.42,2.57,2.61,2.63,3.02,2.64,#N/A
2001,4,0.70,1.56,2.02,2.06,2.14,2.36,2.38,2.14,#N/A
2002,1,-0.40,1.40,1.99,2.12,2.28,2.36,1.94,2.36,#N/A
2002,2,1.40,2.96,2.17,2.20,2.44,2.50,2.18,2.54,#N/A
2002,3,3.40,2.15,2.16,2.32,2.35,2.38,2.27,2.31,#N/A
2002,4,1.90,2.18,2.24,2.10,2.23,2.27,2.20,2.20,#N/A
2003,1,2.40,2.51,1.98,1.89,2.22,2.25,2.15,2.37,#N/A
2003,2,3.90,1.82,1.64,1.96,2.14,2.20,2.30,2.23,#N/A
2003,3,0.60,1.65,1.55,1.96,1.88,2.10,1.94,2.06,#N/A
2003,4,2.30,2.17,1.83,1.85,2.06,2.05,2.24,1.94,#N/A
2004,1,0.90,1.69,1.53,1.59,1.80,1.85,1.66,1.93,#N/A
2004,2,3.60,2.80,2.07,2.13,2.14,2.18,2.63,2.22,#N/A
2004,3,4.70,3.15,2.47,2.42,2.40,2.38,3.48,2.12,#N/A
2004,4,1.90,2.55,2.35,2.31,2.19,2.39,3.19,2.31,#N/A
2005,1,3.40,2.26,2.20,2.22,2.32,2.30,2.25,2.37,#N/A
2005,2,2.40,3.33,2.17,2.53,2.30,2.47,2.64,2.45,#N/A
2005,3,4.20,2.77,2.49,2.48,2.55,2.41,2.96,2.38,2.55
2005,4,5.10,3.74,2.54,2.41,2.44,2.43,3.84,2.46,2.56
2006,1,3.20,2.23,2.41,2.50,2.52,2.29,2.43,2.49,2.48
2006,2,2.20,3.28,2.61,2.49,2.39,2.34,2.65,2.44,2.38
2006,3,5.00,3.37,2.82,2.88,2.77,2.61,3.35,2.65,2.52
2006,4,2.91,0.52,2.80,2.84,2.59,2.35,2.64,2.65,2.56
2007,1,-2.20,2.33,2.65,2.54,2.24,2.33,2.45,2.31,2.28
2007,2,3.80,4.07,2.48,2.29,2.52,2.46,3.15,2.43,2.44
2007,3,6.00,2.33,1.76,2.40,2.53,2.32,3.42,2.34,2.33
2007,4,1.90,2.89,2.83,2.43,2.24,2.15,3.62,2.42,2.42
2008,1,4.30,3.20,2.26,2.36,2.20,2.38,2.52,2.28,2.38
2008,2,4.30,3.51,3.05,2.49,2.71,2.43,3.34,2.53,2.38
2008,3,5.00,5.12,2.69,2.62,2.10,2.43,4.26,2.40,2.45
2008,4,6.70,-2.32,0.60,1.51,2.30,2.35,3.35,1.66,2.35
2009,1,-9.20,-2.45,0.95,1.81,1.47,1.92,0.27,1.89,2.12
2009,2,-2.40,0.91,1.94,1.48,1.79,1.98,0.47,1.77,2.01
2009,3,1.30,2.30,1.70,1.87,1.70,2.11,0.73,1.86,2.32
2009,4,3.60,2.22,1.42,1.36,1.88,1.93,1.17,1.64,2.14
2010,1,3.40,1.91,1.23,1.81,1.89,2.05,1.70,2.04,2.26
2010,2,1.50,1.21,1.85,1.81,1.96,1.89,1.62,2.03,2.44
2010,3,-0.70,1.24,1.66,1.68,1.46,1.96,0.93,1.74,2.05
2010,4,1.50,1.96,1.70,1.37,1.78,1.85,1.04,1.69,1.96
2011,1,2.61,2.42,1.25,1.69,1.77,2.07,1.78,1.97,2.04
2011,2,5.22,3.42,2.04,1.95,2.28,2.06,3.13,2.22,2.39
2011,3,4.10,1.70,1.87,2.11,2.07,2.20,3.22,2.12,2.24
2011,4,3.10,1.90,2.14,1.95,2.13,2.08,3.56,2.07,2.23
2012,1,0.87,2.00,1.88,2.24,2.13,2.23,2.04,2.23,2.45
2012,2,2.54,2.07,2.10,2.12,2.14,2.04,2.21,2.18,2.46
2012,3,0.79,1.69,2.06,2.02,1.94,2.20,1.77,2.09,2.32
2012,4,2.28,2.29,1.96,2.05,2.22,2.34,1.95,2.15,2.31
2013,1,2.10,1.70,1.94,2.16,2.19,2.05,1.99,2.20,2.27
2013,2,1.41,1.20,2.15,2.02,1.99,2.11,1.70,2.12,2.24
2013,3,0.00,2.10,1.72,1.78,1.83,2.03,1.31,1.97,2.17
2013,4,2.58,1.64,1.70,1.86,2.10,2.08,1.42,1.94,2.15
2014,1,0.91,1.77,1.62,2.02,1.84,1.99,1.81,1.99,2.18
2014,2,1.90,1.94,1.86,1.80,1.91,1.92,1.88,2.01,2.21
2014,3,2.97,2.14,2.00,2.06,2.12,2.09,2.21,2.09,2.24
2014,4,1.12,0.85,1.69,1.99,1.98,1.95,1.72,1.91,2.13
2015,1,-1.18,-1.43,1.53,1.92,1.91,2.02,0.96,2.12,2.24
2015,2,-3.10,1.65,1.93,1.89,1.84,2.11,0.58,2.04,2.28
2015,3,3.00,1.83,1.74,1.82,2.12,2.10,0.85,2.08,2.33
2015,4,1.60,0.93,1.75,2.02,2.18,2.27,0.58,2.05,2.26
2016,1,0.20,0.27,1.68,2.06,2.13,2.03,1.53,2.16,2.19
2016,2,-0.30,1.85,1.97,2.18,2.05,2.12,1.42,2.13,2.25
2016,3,2.50,1.87,2.22,2.08,2.17,2.21,1.57,2.25,2.29
2016,4,1.61,2.41,2.13,2.18,2.30,2.27,1.55,2.23,2.26
2017,1,3.40,2.61,2.22,2.38,2.46,2.46,2.42,2.41,2.49
2017,2,3.10,1.61,2.21,2.38,2.38,2.25,2.33,2.36,2.38
